channel_name,channel_handle,date,youtube_views,youtube_rsi,live_stream_count,fear_greed_value,fear_greed_classification,btc_price_close,btc_price_high,btc_price_low,btc_volume
,,2025-01-19,,,,77,Extreme Greed,101212.56,106317.18,99537.53,4325905602
,,2025-01-20,,,,76,Extreme Greed,102148.74,109340.21,99449.75,7208305685
Micha.Stocks,@Micha.Stocks,2025-01-21,12814,,1,76,Extreme Greed,106155.61,107252.77,100069.04,8798621119
Micha.Stocks,@Micha.Stocks,2025-01-22,12830,,1,84,Extreme Greed,103669.08,106398.57,103321.48,4603973397
Micha.Stocks,@Micha.Stocks,2025-01-23,19450,,1,75,Greed,103933.88,106865.30,101221.00,9801561615
Micha.Stocks,@Micha.Stocks,2025-01-24,17596,,1,75,Greed,104854.78,107170.86,102751.09,4233037158
,,2025-01-25,,,,75,Greed,104733.15,105282.15,104107.08,1239370332
,,2025-01-26,,,,73,Greed,102576.93,105475.33,102487.80,1469434498
Micha.Stocks,@Micha.Stocks,2025-01-27,43801,,1,71,Greed,102065.72,103230.24,97712.77,9486896779
Micha.Stocks,@Micha.Stocks,2025-01-28,24356,,1,72,Greed,101284.47,103787.72,100221.08,4510250877
Micha.Stocks,@Micha.Stocks,2025-01-29,22119,,1,72,Greed,103742.97,104796.98,101279.83,4842279589
,,2025-01-30,,,,70,Greed,104739.58,106472.04,103297.81,3857857706
Micha.Stocks,@Micha.Stocks,2025-01-31,22160,,1,76,Extreme Greed,102412.41,106101.91,101514.21,4378171064
,,2025-02-01,,,,68,Greed,100619.87,102768.26,100270.22,1595801666
,,2025-02-02,,,,60,Greed,97665.06,101436.90,96158.45,5562003742
Micha.Stocks,@Micha.Stocks,2025-02-03,35329,,1,44,Fear,101451.28,102575.82,91142.87,11504010038
Micha.Stocks,@Micha.Stocks,2025-02-04,18847,,2,72,Greed,97794.88,101800.32,95090.81,6271562967
Micha.Stocks,@Micha.Stocks,2025-02-05,15720,,1,54,Neutral,96633.71,99208.65,96175.47,4171560523
,,2025-02-06,,,,49,Neutral,96564.27,99180.75,95691.57,4349625341
,,2025-02-07,,,,44,Fear,96532.73,100202.29,95630.04,5075285222
,,2025-02-08,,,,44,Fear,96475.59,96906.35,95685.31,1207354074
,,2025-02-09,,,,46,Fear,96485.60,97340.86,94752.27,1791686347
Micha.Stocks,@Micha.Stocks,2025-02-10,14031,,1,43,Fear,97458.59,98363.35,95276.70,2731410652
Micha.Stocks,@Micha.Stocks,2025-02-11,20178,,1,47,Neutral,95781.05,98499.44,94852.37,2800036234
Micha.Stocks,@Micha.Stocks,2025-02-12,26570,,1,46,Fear,97874.61,98127.45,94087.33,3853980408
Micha.Stocks,@Micha.Stocks,2025-02-13,21075,,1,50,Neutral,96632.78,98104.11,95225.08,2236344586
,,2025-02-14,,,,48,Neutral,97508.71,98869.28,96282.72,1966704818
,,2025-02-15,,,,50,Neutral,97596.21,97979.54,97245.24,569120592
,,2025-02-16,,,,54,Neutral,96132.69,97728.27,96069.15,643146269
,,2025-02-17,,,,51,Neutral,95790.31,97046.20,95226.61,1398128551
Micha.Stocks,@Micha.Stocks,2025-02-18,13371,,1,47,Neutral,95630.67,96736.69,93361.47,2502902526
,,2025-02-19,,,,44,Fear,96640.99,96885.35,95032.61,1637124692
,,2025-02-20,,,,49,Neutral,98345.66,98763.14,96430.11,2057024375
,,2025-02-21,,,,55,Greed,96150.27,99519.21,94775.25,3928905118
,,2025-02-22,,,,49,Neutral,96580.46,96973.86,95771.79,1126120706
,,2025-02-23,,,,50,Neutral,96274.12,96674.04,95255.75,718043734
Micha.Stocks,@Micha.Stocks,2025-02-24,18564,,1,49,Neutral,91536.97,96514.26,91349.77,2945422583
,,2025-02-25,,,,25,Extreme Fear,88609.26,92540.35,85944.14,6473414679
Micha.Stocks,@Micha.Stocks,2025-02-26,40679,,1,21,Extreme Fear,84128.38,89320.19,82199.13,5069737664
Micha.Stocks,@Micha.Stocks,2025-02-27,19461,,1,10,Extreme Fear,84657.34,87008.08,82601.58,3929681160
Micha.Stocks,@Micha.Stocks,2025-02-28,21484,,1,16,Extreme Fear,84322.57,85114.25,78203.72,6502539275
,,2025-03-01,,,,20,Extreme Fear,86050.58,86537.62,83798.96,1577375765
,,2025-03-02,,,,26,Fear,94275.76,95106.04,85047.82,4350642164
Micha.Stocks,@Micha.Stocks,2025-03-03,23663,,1,33,Fear,86158.95,94415.65,85071.66,5844734403
,,2025-03-04,,,,15,Extreme Fear,87255.42,88941.97,81449.43,5671376307
Micha.Stocks,@Micha.Stocks,2025-03-05,15097,,1,20,Extreme Fear,90610.80,91001.98,86341.87,3457722669
Micha.Stocks,@Micha.Stocks,2025-03-06,17764,,1,25,Extreme Fear,89931.91,92808.83,87818.33,3512025157
